metric,corr_with_test_acc,frac_change_before_grok
sign_stability_unembed_weight,-0.9058,0.9934
condition_number_unembed_weight,0.8959,1.1656
eff_rank_unembed_weight,-0.8897,0.9102
sharpness,-0.8682,1.0
eff_rank_W_out_weight,-0.8349,0.9594
sign_stability_embed_weight,-0.792,0.8942
sign_stability_pos_embed,-0.7833,0.994
eff_rank_W_O_weight,-0.7777,0.8486
sign_stability_W_O_weight,-0.7693,0.9507
sign_stability_W_in_weight,-0.7512,0.9748
sparsity_mlp,-0.7462,1.3157
fourier_mean_frac_explained_mlp,0.7312,0.9818
eff_rank_embed_weight,-0.7116,0.8809
eff_rank_W_V_weight,-0.7082,0.9019
fourier_mean_top_freq_mlp,0.7058,0.8896
sign_stability_W_out_weight,-0.6943,0.9991
sign_stability_W_V_weight,-0.6853,0.9731
eff_rank_W_in_weight,-0.6715,0.9443
l2_W_K_weight,-0.6602,0.7594
total_weight_sq,-0.6541,0.9592
condition_number_embed_weight,0.6476,0.7823
weight_dist_init_embed_weight,0.6452,0.9761
test_loss,-0.6371,0.9616
weight_dist_init_W_in_bias,0.6339,0.9822
test_entropy,-0.6288,0.9854
sign_stability_W_in_bias,-0.6211,0.9752
sign_stability_W_K_weight,-0.6205,0.997
l2_embed_weight,-0.611,0.9816
test_confidence,0.6077,1.11
eff_rank_W_Q_weight,-0.6023,0.9972
condition_number_W_out_weight,0.5811,1.345
eff_rank_W_K_weight,-0.5807,0.9981
weight_dist_init_W_out_bias,0.5353,1.0705
weight_dist_init_W_V_weight,0.5114,1.0877
sign_stability_W_Q_weight,-0.507,1.0
train_loss,-0.5039,0.9999
grad_norm_W_V_weight,-0.5014,0.9889
grad_norm_W_O_weight,-0.4913,0.9864
grad_norm_W_in_weight,-0.4733,0.9791
weight_dist_init_W_O_weight,0.4634,1.1231
grad_norm_W_in_bias,-0.4585,0.9889
grad_norm_embed_weight,-0.4554,0.9448
grad_norm_pos_embed,-0.4515,0.9211
grad_norm_W_Q_weight,-0.4497,0.998
grad_norm_W_out_weight,-0.443,0.9822
l2_W_V_weight,0.4402,1.1466
sign_stability_W_out_bias,-0.4399,0.9333
weight_dist_init_W_in_weight,0.4338,1.1156
weight_dist_init_W_K_weight,0.4311,1.0425
fourier_mean_entropy_mlp,0.4168,1.201
l2_W_in_bias,-0.4085,1.0127
grad_norm_unembed_weight,-0.3979,0.9309
grad_norm_W_out_bias,-0.3968,0.9974
dead_frac_mlp,-0.3907,1.0
cka_vs_prev,0.3785,0.9737
update_weight_ratio_W_out_weight,-0.358,0.8894
grad_alignment,0.3456,0.0621
l2_W_O_weight,0.3444,1.2209
condition_number_W_in_weight,0.3435,0.8083
update_weight_ratio_W_V_weight,-0.3427,0.6423
grad_norm_W_K_weight,-0.3365,0.894
update_weight_ratio_W_O_weight,-0.3285,0.6774
l2_unembed_weight,-0.3227,2.2262
update_weight_ratio_W_in_weight,-0.3194,0.34
update_weight_ratio_unembed_weight,-0.3126,0.7432
update_weight_ratio_W_out_bias,-0.2673,0.5199
l2_W_out_weight,-0.2532,1.7219
weight_dist_init_W_Q_weight,0.2502,0.7322
update_weight_ratio_W_K_weight,-0.2377,-0.8053
eff_rank_pos_embed,-0.2304,0.8646
condition_number_W_K_weight,0.2273,1.63
update_weight_ratio_pos_embed,-0.2269,-1.0601
idim_mlp,-0.2204,-2.1111
condition_number_W_Q_weight,0.2194,1.6817
logit_fourier_frac,0.215,0.1596
l2_W_in_weight,-0.2034,1.7834
weight_dist_init_pos_embed,0.2001,1.2482
update_weight_ratio_embed_weight,0.194,1.9874
margin,0.1844,0.3633
logit_fourier_entropy,-0.1793,-0.6965
update_weight_ratio_W_Q_weight,-0.1636,-0.9348
weight_dist_init_unembed_weight,-0.1497,1.3836
l2_pos_embed,-0.1274,-73.5206
group_assoc_frac,0.1149,16.3345
l2_W_out_bias,-0.0845,0.6039
condition_number_W_O_weight,0.0698,0.0181
l2_W_Q_weight,0.066,0.2198
condition_number_pos_embed,0.0497,0.8456
condition_number_W_V_weight,0.0464,30.3491
update_weight_ratio_W_in_bias,0.0385,6.2188
weight_dist_init_W_out_weight,-0.0278,1.3099
group_has_identity,,
